Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
"amit amit banget gila kek bangga bgt tu orang suka ngentot sana sini, kek big rewards buat dia, sinting banget goblok",Anger,amit amit banget gila kek bangga bgt tu orang suka ngentot sana sini kek big rewards buat dia sinting banget goblok,amit amit banget gila kayak bangga banget itu orang suka ngentot sana sini kayak big rewards buat dia sinting banget goblok,"['amit', 'amit', 'banget', 'gila', 'kayak', 'bangga', 'banget', 'itu', 'orang', 'suka', 'ngentot', 'sana', 'sini', 'kayak', 'big', 'rewards', 'buat', 'dia', 'sinting', 'banget', 'goblok']",amit amit banget gila kayak bangga banget orang suka ngentot kayak big rewards sinting banget goblok
"rumit banget jadi orang ya ,kalo ga suka ya simpel keep aja sih.ribet banget hidupnya",Anger,rumit banget jadi orang ya kalo ga suka ya simpel keep aja sihribet banget hidupnya,rumit banget jadi orang ya kalau tidak suka ya simpel keep saja sihribet banget hidupnya,"['rumit', 'banget', 'jadi', 'orang', 'ya', 'kalau', 'tidak', 'suka', 'ya', 'simpel', 'keep', 'saja', 'sihribet', 'banget', 'hidupnya']",rumit banget orang suka simpel keep sihribet banget hidupnya
"sumpah ya tuhan, maaf banget. tapi semoga dia dpt balasan karma setimpal krn ga adil dan suka nipu bawahannya.",Anger,sumpah ya tuhan maaf banget tapi semoga dia dpt balasan karma setimpal krn ga adil dan suka nipu bawahannya,sumpah ya tuhan maaf banget tapi semoga dia dapat balasan karma setimpal karena tidak adil dan suka nipu bawahannya,"['sumpah', 'ya', 'tuhan', 'maaf', 'banget', 'tapi', 'semoga', 'dia', 'dapat', 'balasan', 'karma', 'setimpal', 'karena', 'tidak', 'adil', 'dan', 'suka', 'nipu', 'bawahannya']",sumpah tuhan maaf banget semoga balasan karma setimpal adil suka nipu bawahannya
"heran banget temenku knp suka ngajak gelud si anj udh tau lagi di jauhin lagi ga chat"" an ya brarti aku lagi ngehindari percecokan kok malah nyari ribut geoblog sia teh",Anger,heran banget temenku knp suka ngajak gelud si anj udh tau lagi di jauhin lagi ga chat an ya brarti aku lagi ngehindari percecokan kok malah nyari ribut geoblog sia teh,heran banget temenku kenapa suka mengajak gelud sih anjing sudah tau lagi di jauhi lagi tidak chat an ya berarti aku lagi ngehindari percecokan kok malah mencari ribut geoblog sia teh,"['heran', 'banget', 'temenku', 'kenapa', 'suka', 'mengajak', 'gelud', 'sih', 'anjing', 'sudah', 'tau', 'lagi', 'di', 'jauhi', 'lagi', 'tidak', 'chat', 'an', 'ya', 'berarti', 'aku', 'lagi', 'ngehindari', 'percecokan', 'kok', 'malah', 'mencari', 'ribut', 'geoblog', 'sia', 'teh']",heran banget temenku suka mengajak gelud anjing jauhi chat an ngehindari percecokan mencari ribut geoblog sia teh
"sch! ini caranya gimana yaa biar temen temen ekstrakurikuler ndak pake kelas sender buat jadi ruang pertemuan. udah ditegur sama wali kelas sender masih bebel banget, mana kalo pake tuh suka gak ijin, terus kelasnya dikotorin lagi, sama kipas gak dimatiin lagi. sebel liatnya",Anger,sch ini caranya gimana yaa biar temen temen ekstrakurikuler ndak pake kelas sender buat jadi ruang pertemuan udah ditegur sama wali kelas sender masih bebel banget mana kalo pake tuh suka gak ijin terus kelasnya dikotorin lagi sama kipas gak dimatiin lagi sebel liatnya,sch ini caranya bagaimana ya biar teman teman ekstrakurikuler indak pakai kelas sender buat jadi ruang pertemuan sudah ditegur sama wali kelas sender masih bebel banget mana kalau pakai tuh suka tidak ijin terus kelasnya dikotorin lagi sama kipas tidak dimatiin lagi sebel lihatnya,"['sch', 'ini', 'caranya', 'bagaimana', 'ya', 'biar', 'teman', 'teman', 'ekstrakurikuler', 'indak', 'pakai', 'kelas', 'sender', 'buat', 'jadi', 'ruang', 'pertemuan', 'sudah', 'ditegur', 'sama', 'wali', 'kelas', 'sender', 'masih', 'bebel', 'banget', 'mana', 'kalau', 'pakai', 'tuh', 'suka', 'tidak', 'ijin', 'terus', 'kelasnya', 'dikotorin', 'lagi', 'sama', 'kipas', 'tidak', 'dimatiin', 'lagi', 'sebel', 'lihatnya']",sch biar teman teman ekstrakurikuler indak pakai kelas sender ruang pertemuan ditegur wali kelas sender bebel banget pakai suka ijin kelasnya dikotorin kipas dimatiin sebel lihatnya
"benar banget, cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benar-benar sudah ditahap sangat menjijikan. gak beda jauh sama orang-orang di jalan, yg suka main hakim sendiri sampe bikin nyawa orang melayang",Anger,benar banget cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benarbenar sudah ditahap sangat menjijikan gak beda jauh sama orangorang di jalan yg suka main hakim sendiri sampe bikin nyawa orang melayang,benar banget cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benarbenar sudah ditahap sangat menjijikan tidak beda jauh sama orangorang di jalan yang suka main hakim sendiri sampai bikin nyawa orang melayang,"['benar', 'banget', 'cancel', 'culture', 'dan', 'pembenaran', 'diri', 'sendiri', 'ala', 'sjw', 'zaman', 'sekarang', 'benarbenar', 'sudah', 'ditahap', 'sangat', 'menjijikan', 'tidak', 'beda', 'jauh', 'sama', 'orangorang', 'di', 'jalan', 'yang', 'suka', 'main', 'hakim', 'sendiri', 'sampai', 'bikin', 'nyawa', 'orang', 'melayang']",banget cancel culture pembenaran ala sjw zaman benarbenar ditahap menjijikan beda orangorang jalan suka main hakim bikin nyawa orang melayang
suka gatel banget mas kalo yg ginian ga disebarin yawloh,Anger,suka gatel banget mas kalo yg ginian ga disebarin yawloh,suka gatel banget mas kalau yang beginian tidak disebarin,"['suka', 'gatel', 'banget', 'mas', 'kalau', 'yang', 'beginian', 'tidak', 'disebarin']",suka gatel banget mas disebarin
"gue liat ada yg ampe bilang ""lo ngarepin apa dari fandom ini"". kayak, anjir bgt lo! kalo sekiranya lo ga nyaman ada di satu fandom, dan lo cuma suka sama salah satu membernya, tolong deh, gausah ngaku bagian dari fandomnya.",Anger,gue liat ada yg ampe bilang lo ngarepin apa dari fandom ini kayak anjir bgt lo kalo sekiranya lo ga nyaman ada di satu fandom dan lo cuma suka sama salah satu membernya tolong deh gausah ngaku bagian dari fandomnya,gue lihat ada yang sampai bilang lo ngarepin apa dari fandom ini kayak anjir banget lo kalau sekiranya lo tidak nyaman ada di satu fandom dan lo cuma suka sama salah satu membernya tolong deh mengaku bagian dari fandomnya,"['gue', 'lihat', 'ada', 'yang', 'sampai', 'bilang', 'lo', 'ngarepin', 'apa', 'dari', 'fandom', 'ini', 'kayak', 'anjir', 'banget', 'lo', 'kalau', 'sekiranya', 'lo', 'tidak', 'nyaman', 'ada', 'di', 'satu', 'fandom', 'dan', 'lo', 'cuma', 'suka', 'sama', 'salah', 'satu', 'membernya', 'tolong', 'deh', 'mengaku', 'bagian', 'dari', 'fandomnya']",gue lihat bilang ngarepin fandom kayak anjir banget nyaman fandom suka salah membernya tolong mengaku fandomnya
oalahh jadi elu yang suka kentut diem diem?? mana bau banget lagi njink,Anger,oalahh jadi elu yang suka kentut diem diem mana bau banget lagi njink,oalahh jadi lu yang suka kentut diam diam mana bau banget lagi njink,"['oalahh', 'jadi', 'lu', 'yang', 'suka', 'kentut', 'diam', 'diam', 'mana', 'bau', 'banget', 'lagi', 'njink']",oalahh lu suka kentut diam diam bau banget njink
gak paham gue. emang harus banget gitu gvk lo laporan kalo punya pacar ke ja3? justru itu waktu yg tepat buat ngenalin kalo te itu pacar lo goblok! gimana te gak kecewa. gue jg bakalan marah kalo jadi te. ini lg si ja3 suka sama lo hadehh,Anger,gak paham gue emang harus banget gitu gvk lo laporan kalo punya pacar ke ja justru itu waktu yg tepat buat ngenalin kalo te itu pacar lo goblok gimana te gak kecewa gue jg bakalan marah kalo jadi te ini lg si ja suka sama lo hadehh,tidak paham gue memang harus banget begitu gvk lo laporan kalau punya pacar ke saja justru itu waktu yang tepat buat ngenalin kalau te itu pacar lo goblok bagaimana te tidak kecewa gue juga bakalan marah kalau jadi te ini lagi sih saja suka sama lo hadehh,"['tidak', 'paham', 'gue', 'memang', 'harus', 'banget', 'begitu', 'gvk', 'lo', 'laporan', 'kalau', 'punya', 'pacar', 'ke', 'saja', 'justru', 'itu', 'waktu', 'yang', 'tepat', 'buat', 'ngenalin', 'kalau', 'te', 'itu', 'pacar', 'lo', 'goblok', 'bagaimana', 'te', 'tidak', 'kecewa', 'gue', 'juga', 'bakalan', 'marah', 'kalau', 'jadi', 'te', 'ini', 'lagi', 'sih', 'saja', 'suka', 'sama', 'lo', 'hadehh']",paham gue banget gvk laporan pacar ngenalin te pacar goblok te kecewa gue marah te suka hadehh
sinyal kenapa suka banget bapuk tibatiba y. emosi allahu,Anger,sinyal kenapa suka banget bapuk tibatiba y emosi allahu,sinyal kenapa suka banget bapuk tibatiba ya emosi allahu,"['sinyal', 'kenapa', 'suka', 'banget', 'bapuk', 'tibatiba', 'ya', 'emosi', 'allahu']",sinyal suka banget bapuk tibatiba emosi allahu
suka heran sama tipe manusia yg ga ada angin ga ada ujan tau2 sinis bgt tiap diajak ngobrol. tp cuma ke lu doang. ke yg lain b aja. kek why? kasih tau aja napa salah w dimana,Anger,suka heran sama tipe manusia yg ga ada angin ga ada ujan tau sinis bgt tiap diajak ngobrol tp cuma ke lu doang ke yg lain b aja kek why kasih tau aja napa salah w dimana,suka heran sama tipe manusia yang tidak ada angin tidak ada ujan tau sinis banget tiap diajak mengobrol tapi cuma ke kamu doang ke yang lain b saja kayak why kasih tau saja kenapa salah gue dimana,"['suka', 'heran', 'sama', 'tipe', 'manusia', 'yang', 'tidak', 'ada', 'angin', 'tidak', 'ada', 'ujan', 'tau', 'sinis', 'banget', 'tiap', 'diajak', 'mengobrol', 'tapi', 'cuma', 'ke', 'kamu', 'doang', 'ke', 'yang', 'lain', 'b', 'saja', 'kayak', 'why', 'kasih', 'tau', 'saja', 'kenapa', 'salah', 'gue', 'dimana']",suka heran tipe manusia angin ujan sinis banget diajak mengobrol doang b kayak why kasih salah gue dimana
"semenjak bisa belanja online, beliau suka beli barang yang sebenernya nggak dibutuhin banget, ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karna jengkel",Anger,semenjak bisa belanja online beliau suka beli barang yang sebenernya nggak dibutuhin banget ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karna jengkel,semenjak bisa belanja online beliau suka beli barang yang sebenarnya tidak dibutuhin banget ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karena jengkel,"['semenjak', 'bisa', 'belanja', 'online', 'beliau', 'suka', 'beli', 'barang', 'yang', 'sebenarnya', 'tidak', 'dibutuhin', 'banget', 'ujung', 'ujungnya', 'disimpe', 'di', 'sembarang', 'tempat', 'terus', 'ibu', 'ngedumel', 'karena', 'jengkel']",semenjak belanja online beliau suka beli barang dibutuhin banget ujung ujungnya disimpe sembarang ngedumel jengkel
"bener banget. gue exol dari jaman overdose. pas orang tau gue exol pada bingung gitu, kok gue masih suka sama mereka padahal mereka udah ga terkenal dan udah tua. pengen banget gue sumpel mulutnya pake kaos kaki. gue ga jawab karna takutnya jadi ribut, langsung gue tinggal aja.",Anger,bener banget gue exol dari jaman overdose pas orang tau gue exol pada bingung gitu kok gue masih suka sama mereka padahal mereka udah ga terkenal dan udah tua pengen banget gue sumpel mulutnya pake kaos kaki gue ga jawab karna takutnya jadi ribut langsung gue tinggal aja,benar banget gue exol dari jaman overdose pas orang tau gue exol pada bingung begitu kok gue masih suka sama mereka padahal mereka sudah tidak terkenal dan sudah tua pengin banget gue sumpel mulutnya pakai kaos kaki gue tidak jawab karena takutnya jadi ribut langsung gue tinggal saja,"['benar', 'banget', 'gue', 'exol', 'dari', 'jaman', 'overdose', 'pas', 'orang', 'tau', 'gue', 'exol', 'pada', 'bingung', 'begitu', 'kok', 'gue', 'masih', 'suka', 'sama', 'mereka', 'padahal', 'mereka', 'sudah', 'tidak', 'terkenal', 'dan', 'sudah', 'tua', 'pengin', 'banget', 'gue', 'sumpel', 'mulutnya', 'pakai', 'kaos', 'kaki', 'gue', 'tidak', 'jawab', 'karena', 'takutnya', 'jadi', 'ribut', 'langsung', 'gue', 'tinggal', 'saja']",banget gue exol jaman overdose orang gue exol bingung gue suka terkenal tua pengin banget gue sumpel mulutnya pakai kaos kaki gue takutnya ribut langsung gue tinggal
"itu gatau harga akun apa gimana, suka nyesek kalo ditawar sampe jatoh banget mana upf sekarang susah",Anger,itu gatau harga akun apa gimana suka nyesek kalo ditawar sampe jatoh banget mana upf sekarang susah,itu harga akun apa bagaimana suka menyesak kalau ditawar sampai jatuh banget mana upf sekarang susah,"['itu', 'harga', 'akun', 'apa', 'bagaimana', 'suka', 'menyesak', 'kalau', 'ditawar', 'sampai', 'jatuh', 'banget', 'mana', 'upf', 'sekarang', 'susah']",harga akun suka menyesak ditawar jatuh banget upf susah
kelakuan temenku tuh suka kek gitu.. bilangnya otw eh tau taunya lama banget :),Anger,kelakuan temenku tuh suka kek gitu bilangnya otw eh tau taunya lama banget,kelakuan temenku tuh suka kayak begitu bilangnya otw eh tau taunya lama banget,"['kelakuan', 'temenku', 'tuh', 'suka', 'kayak', 'begitu', 'bilangnya', 'otw', 'eh', 'tau', 'taunya', 'lama', 'banget']",kelakuan temenku suka kayak bilangnya otw eh taunya banget
guru gue campur campur aksennya anjir.. suka kudu teliti banget liattin gerak bibirnya t_t,Anger,guru gue campur campur aksennya anjir suka kudu teliti banget liattin gerak bibirnya tt,guru gue campur campur aksennya anjir suka kudu teliti banget liattin gerak bibirnya tt,"['guru', 'gue', 'campur', 'campur', 'aksennya', 'anjir', 'suka', 'kudu', 'teliti', 'banget', 'liattin', 'gerak', 'bibirnya', 'tt']",guru gue campur campur aksennya anjir suka kudu teliti banget liattin gerak bibirnya tt
"suka kesel nggak sih, ketika udah dibantuin tuh nggak bilang makasih. bukannya gua mo ngemis ucapan terima kasih, tapi kek sifat lo kesannya jadi jelek di gua. apa susahnya ngetik makasih gituu, apalagi lo minta bantuan ama orang random ketemu di internet",Anger,suka kesel nggak sih ketika udah dibantuin tuh nggak bilang makasih bukannya gua mo ngemis ucapan terima kasih tapi kek sifat lo kesannya jadi jelek di gua apa susahnya ngetik makasih gituu apalagi lo minta bantuan ama orang random ketemu di internet,suka kesel tidak sih ketika sudah dibantuin tuh tidak bilang bukannya gua mau ngemis ucapan terima kasih tapi kayak sifat lo kesannya jadi jelek di gua apa susahnya mengetik begitu apalagi lo meminta bantuan sama orang random ketemu di internet,"['suka', 'kesel', 'tidak', 'sih', 'ketika', 'sudah', 'dibantuin', 'tuh', 'tidak', 'bilang', 'bukannya', 'gua', 'mau', 'ngemis', 'ucapan', 'terima', 'kasih', 'tapi', 'kayak', 'sifat', 'lo', 'kesannya', 'jadi', 'jelek', 'di', 'gua', 'apa', 'susahnya', 'mengetik', 'begitu', 'apalagi', 'lo', 'meminta', 'bantuan', 'sama', 'orang', 'random', 'ketemu', 'di', 'internet']",suka kesel dibantuin bilang gua ngemis ucapan terima kasih kayak sifat kesannya jelek gua susahnya mengetik bantuan orang random ketemu internet
"saat itu juga pengen gua tonjok tapi ditahan jadinya gua dorong aja ampe jatoh dari bangku kalo suka tu bilang, lah ini malah bikin 3 kelas benci gua semua manaan ada yang bikin grup ""haters nya bella"" kenapasi alay banget goblok",Anger,saat itu juga pengen gua tonjok tapi ditahan jadinya gua dorong aja ampe jatoh dari bangku kalo suka tu bilang lah ini malah bikin kelas benci gua semua manaan ada yang bikin grup haters nya bella kenapasi alay banget goblok,saat itu juga pengin gua tonjok tapi ditahan jadinya gua dorong saja sampai jatuh dari bangku kalau suka itu bilang lah ini malah bikin kelas benci gua semua manaan ada yang bikin grup haters ya bella kenapasi alay banget goblok,"['saat', 'itu', 'juga', 'pengin', 'gua', 'tonjok', 'tapi', 'ditahan', 'jadinya', 'gua', 'dorong', 'saja', 'sampai', 'jatuh', 'dari', 'bangku', 'kalau', 'suka', 'itu', 'bilang', 'lah', 'ini', 'malah', 'bikin', 'kelas', 'benci', 'gua', 'semua', 'manaan', 'ada', 'yang', 'bikin', 'grup', 'haters', 'ya', 'bella', 'kenapasi', 'alay', 'banget', 'goblok']",pengin gua tonjok ditahan gua dorong jatuh bangku suka bilang bikin kelas benci gua manaan bikin grup haters bella kenapasi alay banget goblok
"masalah nya yang spread hate nih cowo yaallah gua keseringan ribut sama cowo mulu jaman smp tuh anjrit bolak balik masuk bk soalnya ribut mulu, pas ditanya alesan nya bangsat banget ""saya ga suka dia bercanda nya sama yang lain selain sama saya bu"" anjingg",Anger,masalah nya yang spread hate nih cowo yaallah gua keseringan ribut sama cowo mulu jaman smp tuh anjrit bolak balik masuk bk soalnya ribut mulu pas ditanya alesan nya bangsat banget saya ga suka dia bercanda nya sama yang lain selain sama saya bu anjingg,masalah ya yang spread hate nih cowok yaallah gua keseringan ribut sama cowok mulu jaman sampai tuh anjrit bolak balik masuk bk soalnya ribut mulu pas ditanya alesan ya bangsat banget saya tidak suka dia bercanda ya sama yang lain selain sama saya bu anjingg,"['masalah', 'ya', 'yang', 'spread', 'hate', 'nih', 'cowok', 'yaallah', 'gua', 'keseringan', 'ribut', 'sama', 'cowok', 'mulu', 'jaman', 'sampai', 'tuh', 'anjrit', 'bolak', 'balik', 'masuk', 'bk', 'soalnya', 'ribut', 'mulu', 'pas', 'ditanya', 'alesan', 'ya', 'bangsat', 'banget', 'saya', 'tidak', 'suka', 'dia', 'bercanda', 'ya', 'sama', 'yang', 'lain', 'selain', 'sama', 'saya', 'bu', 'anjingg']",spread hate cowok yaallah gua keseringan ribut cowok mulu jaman anjrit bolak masuk bk ribut mulu alesan bangsat banget suka bercanda bu anjingg
jahat banget!! buat kalian laki laki tolong jgn suka jajan sembarangan dong!!,Anger,jahat banget buat kalian laki laki tolong jgn suka jajan sembarangan dong,jahat banget buat kalian laki laki tolong jangan suka jajan sembarangan dong,"['jahat', 'banget', 'buat', 'kalian', 'laki', 'laki', 'tolong', 'jangan', 'suka', 'jajan', 'sembarangan', 'dong']",jahat banget laki laki tolong suka jajan sembarangan
"dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang",Anger,dia nie ngeselin bngt ke guee suka bngt ngisenginn tp dia tu kek andalan para guru trs wibu cm g banget produktif tidak seperti sayaa social butterfly bngt gampang akrab sm orang,dia ini mengesalkan banget ke gue suka banget ngisenginn tapi dia itu kayak andalan para guru terus wibu cuma tidak banget produktif tidak seperti saya social butterfly banget gampang akrab sama orang,"['dia', 'ini', 'mengesalkan', 'banget', 'ke', 'gue', 'suka', 'banget', 'ngisenginn', 'tapi', 'dia', 'itu', 'kayak', 'andalan', 'para', 'guru', 'terus', 'wibu', 'cuma', 'tidak', 'banget', 'produktif', 'tidak', 'seperti', 'saya', 'social', 'butterfly', 'banget', 'gampang', 'akrab', 'sama', 'orang']",mengesalkan banget gue suka banget ngisenginn kayak andalan guru wibu banget produktif social butterfly banget gampang akrab orang
"duh tuh anaknya nanti kelakuannya mirip gue banget deh. biar bisa dinasehatin terus tiap hari. daripada dulu suka nyindirin gue berkedok self reminder, mending langsung kasih copy pastenya aja ke mereka tuhan haha",Anger,duh tuh anaknya nanti kelakuannya mirip gue banget deh biar bisa dinasehatin terus tiap hari daripada dulu suka nyindirin gue berkedok self reminder mending langsung kasih copy pastenya aja ke mereka tuhan haha,duh tuh anaknya nanti kelakuannya mirip gue banget deh biar bisa dinasehatin terus tiap hari daripada dulu suka menyindir gue berkedok self reminder mending langsung kasih copy pastenya saja ke mereka tuhan haha,"['duh', 'tuh', 'anaknya', 'nanti', 'kelakuannya', 'mirip', 'gue', 'banget', 'deh', 'biar', 'bisa', 'dinasehatin', 'terus', 'tiap', 'hari', 'daripada', 'dulu', 'suka', 'menyindir', 'gue', 'berkedok', 'self', 'reminder', 'mending', 'langsung', 'kasih', 'copy', 'pastenya', 'saja', 'ke', 'mereka', 'tuhan', 'haha']",duh anaknya kelakuannya gue banget biar dinasehatin suka menyindir gue berkedok self reminder mending langsung kasih copy pastenya tuhan haha
"saya sering banget ini gini, apalagi sekolah suka banjir kalo ujan. kan jadi nya nyusahin",Anger,saya sering banget ini gini apalagi sekolah suka banjir kalo ujan kan jadi nya nyusahin,saya sering banget ini begini apalagi sekolah suka banjir kalau ujan kan jadi ya menyusahkan,"['saya', 'sering', 'banget', 'ini', 'begini', 'apalagi', 'sekolah', 'suka', 'banjir', 'kalau', 'ujan', 'kan', 'jadi', 'ya', 'menyusahkan']",banget sekolah suka banjir ujan menyusahkan
"kanye nih napa suka banget nyenggol yang lagi naik deh, toxic anj",Anger,kanye nih napa suka banget nyenggol yang lagi naik deh toxic anj,kanye nih kenapa suka banget nyenggol yang lagi naik deh toxic anjing,"['kanye', 'nih', 'kenapa', 'suka', 'banget', 'nyenggol', 'yang', 'lagi', 'naik', 'deh', 'toxic', 'anjing']",kanye suka banget nyenggol toxic anjing
mereka suka playvic gitu knpsi sumpah pajamas kesel banget. nanti merembet kemana mana ya kayak semalem ngebela th dibilang solo stan kan anehh,Anger,mereka suka playvic gitu knpsi sumpah pajamas kesel banget nanti merembet kemana mana ya kayak semalem ngebela th dibilang solo stan kan anehh,mereka suka playvic begitu knpsi sumpah pajamas kesel banget nanti merembet kemana mana ya kayak semalem membela tahu dibilang solo stan kan anehh,"['mereka', 'suka', 'playvic', 'begitu', 'knpsi', 'sumpah', 'pajamas', 'kesel', 'banget', 'nanti', 'merembet', 'kemana', 'mana', 'ya', 'kayak', 'semalem', 'membela', 'tahu', 'dibilang', 'solo', 'stan', 'kan', 'anehh']",suka playvic knpsi sumpah pajamas kesel banget merembet kemana kayak semalem membela dibilang solo stan anehh
"gua emang orangnya suka becanda, tapi bukan berarti ga bisa serius. please be smart, ga semuanya bisa lo candain. jangan biasain bikin orang risih dengan sikap lo, jadi sekarang gua minta tolong please lo semua uncrush gua tolong banget. gua ga nyaman sori",Anger,gua emang orangnya suka becanda tapi bukan berarti ga bisa serius please be smart ga semuanya bisa lo candain jangan biasain bikin orang risih dengan sikap lo jadi sekarang gua minta tolong please lo semua uncrush gua tolong banget gua ga nyaman sori,gua memang orangnya suka becanda tapi bukan berarti tidak bisa serius please be smart tidak semuanya bisa lo candain jangan biasain bikin orang risih dengan sikap lo jadi sekarang gua meminta tolong please lo semua uncrush gua tolong banget gua tidak nyaman sori,"['gua', 'memang', 'orangnya', 'suka', 'becanda', 'tapi', 'bukan', 'berarti', 'tidak', 'bisa', 'serius', 'please', 'be', 'smart', 'tidak', 'semuanya', 'bisa', 'lo', 'candain', 'jangan', 'biasain', 'bikin', 'orang', 'risih', 'dengan', 'sikap', 'lo', 'jadi', 'sekarang', 'gua', 'meminta', 'tolong', 'please', 'lo', 'semua', 'uncrush', 'gua', 'tolong', 'banget', 'gua', 'tidak', 'nyaman', 'sori']",gua orangnya suka becanda serius please be smart candain biasain bikin orang risih sikap gua tolong please uncrush gua tolong banget gua nyaman sori
"brisik banget, ga suka.",Anger,brisik banget ga suka,brisik banget tidak suka,"['brisik', 'banget', 'tidak', 'suka']",brisik banget suka
"buset! parah banget ya logika ibu ini, ini keluarga ibu yang jadi karyawan ga ada yang merasa keberatan ya, dengan kebijakan timpang ini. u cek deh lapangan, banyak penganggur, pesangon dari perusahaan suka ga jelas, ngomongi jkp, ga semua orang juga mau di jkp ampe kesel w",Anger,buset parah banget ya logika ibu ini ini keluarga ibu yang jadi karyawan ga ada yang merasa keberatan ya dengan kebijakan timpang ini u cek deh lapangan banyak penganggur pesangon dari perusahaan suka ga jelas ngomongi jkp ga semua orang juga mau di jkp ampe kesel w,buset parah banget ya logika ibu ini ini keluarga ibu yang jadi karyawan tidak ada yang merasa keberatan ya dengan kebijakan timpang ini lu cek deh lapangan banyak penganggur pesangon dari perusahaan suka tidak jelas ngomongi jkp tidak semua orang juga mau di jkp sampai kesel gue,"['buset', 'parah', 'banget', 'ya', 'logika', 'ibu', 'ini', 'ini', 'keluarga', 'ibu', 'yang', 'jadi', 'karyawan', 'tidak', 'ada', 'yang', 'merasa', 'keberatan', 'ya', 'dengan', 'kebijakan', 'timpang', 'ini', 'lu', 'cek', 'deh', 'lapangan', 'banyak', 'penganggur', 'pesangon', 'dari', 'perusahaan', 'suka', 'tidak', 'jelas', 'ngomongi', 'jkp', 'tidak', 'semua', 'orang', 'juga', 'mau', 'di', 'jkp', 'sampai', 'kesel', 'gue']",buset parah banget logika keluarga karyawan keberatan kebijakan timpang lu cek lapangan penganggur pesangon perusahaan suka ngomongi jkp orang jkp kesel gue
"soalnya tiap ketemu yg ngaku suka banget sama muse, kalo ditanya: ""oh suka muse, suka lagu muse apa?"" ""supermassive dan starlight mas"" pergi! jauh2 kamu!",Anger,soalnya tiap ketemu yg ngaku suka banget sama muse kalo ditanya oh suka muse suka lagu muse apa supermassive dan starlight mas pergi jauh kamu,soalnya tiap ketemu yang mengaku suka banget sama muse kalau ditanya oh suka muse suka lagu muse apa supermassive dan starlight mas pergi jauh kamu,"['soalnya', 'tiap', 'ketemu', 'yang', 'mengaku', 'suka', 'banget', 'sama', 'muse', 'kalau', 'ditanya', 'oh', 'suka', 'muse', 'suka', 'lagu', 'muse', 'apa', 'supermassive', 'dan', 'starlight', 'mas', 'pergi', 'jauh', 'kamu']",ketemu mengaku suka banget muse oh suka muse suka lagu muse supermassive starlight mas pergi
namanya plot hilangnya maksa.. ntah mrk mau akhiri dgn seolah2 ketemu aja atau dibuat hilang tbw sampe yg punya raga balik.. cuma kmrn aja ku nonton udh kesel bawaannya..gak suka banget sama plot hilang ini..,Anger,namanya plot hilangnya maksa ntah mrk mau akhiri dgn seolah ketemu aja atau dibuat hilang tbw sampe yg punya raga balik cuma kmrn aja ku nonton udh kesel bawaannyagak suka banget sama plot hilang ini,namanya plot hilangnya maksa entah mereka mau akhiri dengan seolah ketemu saja atau dibuat hilang tbw sampai yang punya raga balik cuma kemarin saja ku menonton sudah kesel bawaannyagak suka banget sama plot hilang ini,"['namanya', 'plot', 'hilangnya', 'maksa', 'entah', 'mereka', 'mau', 'akhiri', 'dengan', 'seolah', 'ketemu', 'saja', 'atau', 'dibuat', 'hilang', 'tbw', 'sampai', 'yang', 'punya', 'raga', 'balik', 'cuma', 'kemarin', 'saja', 'ku', 'menonton', 'sudah', 'kesel', 'bawaannyagak', 'suka', 'banget', 'sama', 'plot', 'hilang', 'ini']",namanya plot hilangnya maksa ketemu hilang tbw raga kemarin menonton kesel bawaannyagak suka banget plot hilang
"hadeuh kalo inget bulan ini bikin sakit ati banget anjeng, udah deket lama aku nya udah suka eh malah ujung ujungnya sama adek kelasnya kan anjenk kesel sendiri jadinya",Anger,hadeuh kalo inget bulan ini bikin sakit ati banget anjeng udah deket lama aku nya udah suka eh malah ujung ujungnya sama adek kelasnya kan anjenk kesel sendiri jadinya,aduh kalau ingat bulan ini bikin sakit ati banget anjeng sudah dekat lama aku ya sudah suka eh malah ujung ujungnya sama adek kelasnya kan anjenk kesel sendiri jadinya,"['aduh', 'kalau', 'ingat', 'bulan', 'ini', 'bikin', 'sakit', 'ati', 'banget', 'anjeng', 'sudah', 'dekat', 'lama', 'aku', 'ya', 'sudah', 'suka', 'eh', 'malah', 'ujung', 'ujungnya', 'sama', 'adek', 'kelasnya', 'kan', 'anjenk', 'kesel', 'sendiri', 'jadinya']",aduh bikin sakit ati banget anjeng suka eh ujung ujungnya adek kelasnya anjenk kesel
